Country of the beneficial owner,Beneficial owner of the ship,Name of ship,IMO number,Last flag,Flag changed for breaking,Date of change,Commercial Operator of the ship,Registered owner of the ship,Destination city,Destination country,Beaching date,Type of ship,Built in (y),Gross tonnage (GT)
China,China Merchants Group ,New Venture,9006617,Liberia ,,,Associated Maritime Company (Hong Kong) Limited ,New Dynasty Shipping Incorporated ,Xinhui,China,2014-02-18 00:00:00,Crude Oil Tanker ,1992,156308
China,China Ocean Shipping (Group) Company (COSCO),Zhong He,9067556,China ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,Xinhui,China,2014-01-06 00:00:00,Fully Cellular Containership ,1994,48311
China,China Ocean Shipping (Group) Company (COSCO),Joyous World,9050266,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Joyous World Shipping Limited,Xinhui,China,2014-04-29 00:00:00,Bulk Carrier ,1995,35879
China,China Ocean Shipping (Group) Company (COSCO),Full Comfort,9065390,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Full Comfort Shipping Limited ,Xinhui,China,2014-05-18 00:00:00,Bulk Carrier ,1994,36586
China,China Ocean Shipping (Group) Company (COSCO),Full Wealth,9074054,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Hipway Shipping Limited,Xinhui,China,2014-05-20 00:00:00,Bulk Carrier ,1995,24055
China,China Ocean Shipping (Group) Company (COSCO) ,Zhen Xing Hai,9056014,China,,,COSCO Bulk Carrier Company Limited ,COSCO Bulk Carrier Company Limited ,Xinhui,China,2014-08-24 00:00:00,Bulk Carrier,1995,38603
China,China Ocean Shipping (Group) Company (COSCO) ,Peng Ye,8801773,China,,,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Xinhui,China,2014-01-09 00:00:00,Bulk carrier,1989,36120
China,China Ocean Shipping (Group) Company (COSCO) ,Peng Wen,8319512,China ,,,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Xinhui,China,2014-07-20 00:00:00,Bulk Carrier ,1985,24950
China,China Ocean Shipping (Group) Company (COSCO) ,Peng Wei,8806890,China ,,,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Shenzhen Ocean Shipping Company Limited (COSCO Shenzhen) ,Xinhui,China,2014-07-22 00:00:00,Bulk Carrier ,1989,36120
China,China Ocean Shipping (Group) Company (COSCO) ,Sheng He,9058402,China ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,Xinhui,China,2014-01-19 00:00:00,Fully Cellular Containership ,1994,9951
China,China Ocean Shipping (Group) Company (COSCO) ,Da He,9043639,China ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,Xinhui,China,2014-04-08 00:00:00,Fully Cellular Containership ,1994,49375
China,China Ocean Shipping (Group) Company (COSCO) ,Pu He,8705242,China ,,,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,Shanghai Ocean Shipping Company Limited (COSCO Shanghai) ,Xinhui,China,2014-01-24 00:00:00,Fully Cellular Containership ,1990,35963
China,China Ocean Shipping (Group) Company (COSCO) ,Joyous Society,9050254,Hong Kong ,,,COSCO (HK) Shipping Company Limited ,Joyous Society Shipping Limited ,Xinhui,China,2014-08-01 00:00:00,Bulk Carrier,1994,35879
China,China Ocean Shipping (Group) Company (COSCO) ,Tian Yang Hai,9137612,Panama ,,,Qingdao Ocean Shipping Company Limited (COSCO Qingdao) ,Tiangyanghai Maritime Incorporated ,Xinhui,China,2014-08-12 00:00:00,Bulk Carrier,1997,85676
China,China Ocean Shipping (Group) Company (COSCO) ,Xinsheng Hai,8606094,Panama ,,,COSCO Bulk Carrier Company Limited ,Blue Harvest Maritime Incorporated ,Xinhui,China,2014-02-15 00:00:00,Bulk Ore Carrier ,1989,93310
China,China Ocean Shipping (Group) Company (COSCO) ,River Wisdom,9072135,Panama ,,,COSCO Container Lines Limited (COSCON) ,COSCO Container Lines Limited (COSCON) ,Xinhui,China,2014-01-07 00:00:00,Fully Cellular Containership ,1994,48161
China,China Shipping (Group) Company,Xin Jin Zhou,8026074,China ,,,China Shipping Container Lines Company Limited ,China Shipping Container Lines Company Limited ,Xinhui,China,2014-05-27 00:00:00,Fully Cellular Containership ,1982,33267
China,China Shipping (Group) Company,Da Qing 74,9040625,China ,,,China Shipping Development Company Limited ,China Shipping Tanker Company Limited ,Xinhui,China,2014-04-15 00:00:00,Product Tanker ,1994,21281
