IMO#,NAME,TYPE,GT,LDT,BUILT,FLAG,CHANGE OF FLAG FOR BREAKING,BENEFICIAL OWNER,BO COUNTRY,COMMERCIAL OPERATOR,REGISTERED OWNER,RO COUNTRY,PLACE,COUNTRY,ARRIVAL ,COMMENT,Unnamed: 17,Unnamed: 18
8500616,PRODUCER,"FPSO, Oil",73641,34460.0,1987,St Kitts & Nevis,Liberia,Magnum Transcontinental Corp,United States Of America,Petroserv SA,Dynamic Producer Inc,British Virgin Islands,Alang,India,2021-06-01,,,
8104228,ALCYON,Anchor Handling Tug Supply,1210,,1981,Cameroon,Cyprus,Unknown,Unknown,Hakvoort Transport Shipping BV,WOS Worldwide Offshore Support,Cyprus,Aliaga,Turkey,2021-06-01,,,
9107241,EVER PROFIT,General Cargo Ship,6655,2633.0,1994,Sierra Leone,,Unknown,Unknown,Unknown,Rich Profit International,Hong Kong   ,Chittagong,Bangladesh,2021-06-01,,,
8215704,LAFORE 800,Anchor Handling Tug Supply,1151,1268.0,1983,Panama,,Unknown,Unknown,Delta Offshore Intl FZE,Delta Offshore Intl FZE,United Arab Emirates,Alang,India,2021-06-01,,,
8215699,LAFORE 900,Anchor Handling Tug Supply,1151,1268.0,1983,Panama,,Unknown,Unknown,Tek Management Corp,Lafore Offshore Global General,United Arab Emirates,Alang,India,2021-06-01,,,
8117811,JAS,"Accommodation Platform, semi submersible",10870,7389.0,1982,Vanuatu,,Unknown,Unknown,DJ's Surplus & Equipment LLC,DJ's Surplus & Equipment LLC,United States Of America,Brownsville,United States of America,2021-06-01,,,
8752142,PACIFIC 12,"Drilling Rig, jack up",5955,,1976,Unknown,,Pacific Drilling Investments,Barbados,Pacific Drilling Investments,Pacific Drilling Investments,Barbados,Sabine Pass,United States of America,2021-07-01,,,
8420804,GEOSTAHL,Ore Carrier,175720,41569.0,1986,Comoros,Isle of Man,Berge Bulk Ltd,Bermuda,Berge Bulk Maritime Pte Ltd,Berge Stahl Co SA,Panama,Gadani,Pakistan,2021-07-01,,,
7801752,NERO,Products Tanker,13474,5982.0,1982,Comoros,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Alang,India,2021-07-01,,,
7801726,ISLA,Products Tanker,13474,5994.0,1981,Comoros,Brazil,PETROBRAS,Brazil,TRANSPETRO,TRANSPETRO,Brazil,Alang,India,2021-07-01,,,
8421298,HUA JIAN 107,Refrigerated Cargo Ship,4238,2665.0,1986,Panama,,China Govt,China,United Ocean Ship Management,United Ocean Ship Management,Hong Kong,Chittagong,Bangladesh,2021-07-01,,,
9130793,FLORENTINO,Fishing Vessel,3726,,1997,Ecuador,,Equipos Industriales Importeq,Ecuador,Equipos Industriales Importeq,Equipos Industriales Importeq,Ecuador,Guayaquil,Ecuador,2021-07-01,,,
7304314,TROS,Passenger/Cruise,28518,15485.0,1973,Gabon,Bahamas,Pick Albatros Group,Egypt,Egyptian Swiss Co for Tourism,Egyptian Swiss Co for Tourism,Egypt,Alang,India,2021-07-01,,,
